name,area,totalRatingsString,deliveryTime,minDeliveryTime,maxDeliveryTime,costForTwoString+
The Biryani Life, Kandivali East,20+ ratings, 25,25,25,₹250 FOR TWO
ZAZA 22 Spice Biryani, Kandivali,Too Few Ratings, 22,22,22,₹250 FOR TWO
SWEET COUNTY CAKE SHOP, Malad Kan East,20+ ratings, 24,24,24,₹500 FOR TWO
Monginis, Malad Kan East,50+ ratings, 12,12,12,₹300 FOR TWO
Cocobroma, Kandivali East,20+ ratings, 21,21,21,₹300 FOR TWO
Firangi Bake, Kandivali East,20+ ratings, 27,27,27,₹400 FOR TWO
Starbucks Coffee, Malad Kan East,100+ ratings, 16,16,16,₹400 FOR TWO
Big Bowl Company, Kandivali East,100+ ratings, 17,17,17,₹300 FOR TWO
The Ice Cream Bakery - TIB, Malad Kan East,Too Few Ratings, 20,20,20,₹300 FOR TWO
NIC Ice Creams, Kandivali East,100+ ratings, 17,17,17,₹120 FOR TWO
The French Connection, Malad Kan East,20+ ratings, 15,15,15,₹500 FOR TWO
Made of Milk, Kandivali (E), Malad Kan East,Too Few Ratings, 25,25,25,₹250 FOR TWO
Good Fettle - Healthy Ice Creams, Kandivali East,Too Few Ratings, 22,22,22,₹300 FOR TWO
TANDOOR CAFE, Kandivali East,Too Few Ratings, 21,21,21,₹200 FOR TWO
Hii Kolkata, Kandivali East Mumbai,Too Few Ratings, 25,25,25,₹200 FOR TWO
NOTO - Healthy Ice Cream, Kandivali East,100+ ratings, 16,16,16,₹300 FOR TWO
TIBO Dalwada, Thakur Village,50+ ratings, 18,18,18,₹150 FOR TWO
Surbhi Pure Veg (Thakur Village), Kandivali East,100+ ratings, 26,26,26,₹300 FOR TWO
Rocky Rolls Cafe, Malad Kan East,Too Few Ratings, 26,26,26,₹300 FOR TWO
From The Wok	, Malad kan east,Too Few Ratings, 26,26,26,₹500 FOR TWO
Little Cherry, Malad Kan East,Too Few Ratings, 27,27,27,₹250 FOR TWO
Monginis Cake Shop, Malad Kan East,Too Few Ratings, 26,26,26,₹300 FOR TWO
70's Frogurt Hood, Kandivali East,20+ ratings, 18,18,18,₹400 FOR TWO
KULHAD RANI, Malad Kan East,Too Few Ratings, 29,29,29,₹300 FOR TWO
Pizza Story, Kandivali East,Too Few Ratings, 29,29,29,₹300 FOR TWO
The Momo Co., Kandivali East,20+ ratings, 22,22,22,₹250 FOR TWO
The Momo Co., Kandivali East,20+ ratings, 23,23,23,₹250 FOR TWO
BKC / Biryani Kababs Curries, Kandivali East,Too Few Ratings, 26,26,26,₹500 FOR TWO
McCafe by McDonald's, Kandivali East,Too Few Ratings, 19,19,19,₹250 FOR TWO
Veg Daawat by Behrouz, Kandivali East,Too Few Ratings, 26,26,26,₹500 FOR TWO
Mira Veg Restaurant THAKUR COMP, Kandivali East,20+ ratings, 26,26,26,₹250 FOR TWO
Jugheads, Kandivali East,20+ ratings, 28,28,28,₹1200 FOR TWO
MOZO Pizza, Behind Annexe Mall,Too Few Ratings, 29,29,29,₹300 FOR TWO
Delights by INOX, Kandivali East,Too Few Ratings, 22,22,22,₹400 FOR TWO
Rolls & Bowls Company, Kandivali East,20+ ratings, 22,22,22,₹250 FOR TWO
Havmor Havfunn Ice cream, Malad Kan East,20+ ratings, 17,17,17,₹200 FOR TWO
The Good Bowl, Kandivali East,20+ ratings, 23,23,23,₹400 FOR TWO
 Joey's Pizzeria-Kandivali (E), Kandivali East,Too Few Ratings, 28,28,28,₹300 FOR TWO
Bombay Sultaani Biryani House, Malad Kan East,20+ ratings, 23,23,23,₹300 FOR TWO
Mealful Rolls - India's Biggest Rolls, Kandivali East,20+ ratings, 25,25,25,₹250 FOR TWO
FRENZO, Malad Kan East,Too Few Ratings, 33,33,33,₹300 FOR TWO
Faasos' Signature Wraps & Rolls, Kandivali East,Too Few Ratings, 24,24,24,₹350 FOR TWO
Indore.Online, Malad Kan East,Too Few Ratings, 14,14,14,₹200 FOR TWO
NH1 Bowls - Highway To North, Kandivali East,20+ ratings, 18,18,18,₹250 FOR TWO
Pure Veg Meals by Lunchbox, Kandivali East,20+ ratings, 27,27,27,₹200 FOR TWO
Chalta Firta Dhaba, Malad Kan East,Too Few Ratings, 28,28,28,₹300 FOR TWO
THAKKAR LUNCH HOME, Borivali,Too Few Ratings, 40,40,40,₹300 FOR TWO
Itminaan Matka Biryani - Slow Cooked, Kandivali East,20+ ratings, 30,30,30,₹400 FOR TWO
Earthen kitchen champaran meat, Malad Kan East,Too Few Ratings, 38,38,38,₹500 FOR TWO
Ganesh Snack & Juice Corner, Malad Kan East,50+ ratings, 25,25,25,₹200 FOR TWO
New Wanton Point, Kandivali East,20+ ratings, 23,23,23,₹450 FOR TWO
Oven Stories Pizza, Kandivali East,Too Few Ratings, 25,25,25,₹120 FOR TWO
spicy kerala, Kandivali East,Too Few Ratings, 21,21,21,₹300 FOR TWO
BELAN-wraps baos and more..., Kandivali East,20+ ratings, 24,24,24,₹250 FOR TWO
juice & burger, Malad Kan East,Too Few Ratings, 26,26,26,₹200 FOR TWO
MEEMEE'S, Kandivali East,Too Few Ratings, 21,21,21,₹450 FOR TWO
Frullato, Malad Kan East,Too Few Ratings, 25,25,25,₹150 FOR TWO
Wanton Point Tadka, Kandivali East,Too Few Ratings, 27,27,27,₹700 FOR TWO
Sage, Malad Kan East,Too Few Ratings, 27,27,27,₹1000 FOR TWO
Srijana Momo House, Malad Kan East,Too Few Ratings, 23,23,23,₹300 FOR TWO
Food Adda, Kandivali East,20+ ratings, 26,26,26,₹400 FOR TWO
Surbhi, Kandivali East,50+ ratings, 29,29,29,₹300 FOR TWO
Purple Foods Borivili, Malad Kan East,Too Few Ratings, 26,26,26,₹300 FOR TWO
ASIAN CHILLI, Malad Kan East,Too Few Ratings, 24,24,24,₹500 FOR TWO
McDonald's Gourmet Burger Collection, Malad Kan East,Too Few Ratings, 19,19,19,₹600 FOR TWO
Tavola restaurant, Borivali,Too Few Ratings, 28,28,28,₹200 FOR TWO
Om Sai Sandwich Corner, Malad Kan East,Too Few Ratings, 27,27,27,₹300 FOR TWO
The Js Fusion, Malad Kan East,Too Few Ratings, 26,26,26,₹400 FOR TWO
Konkan Kubera, Borivali,20+ ratings, 29,29,29,₹650 FOR TWO
