name,area,totalRatingsString,deliveryTime,minDeliveryTime,maxDeliveryTime,costForTwoString+
BOUNTY THE CAKE STOP, Borivali,Too Few Ratings, 35,35,35,₹150 FOR TWO
The Sandwich House, Opposite Kora Kendra Ground,20+ ratings, 35,35,35,₹300 FOR TWO
Bombay Blues Icecream, Borivali,Too Few Ratings, 35,35,35,₹300 FOR TWO
Chai Wala, Malad Kan East,Too Few Ratings, 40,40,40,₹189 FOR TWO
Banglore Iyangar'S Bekery	, Dahisar,Too Few Ratings, 22,22,22,₹199 FOR TWO
All Things Veg - AltV Kitchen, Borivali,Too Few Ratings, 35,35,35,₹350 FOR TWO
MEAL BY KILO, Borivali,Too Few Ratings, 39,39,39,₹600 FOR TWO
Hotel Sai Prasad Family Restaurant, Borivali,Too Few Ratings, 28,28,28,₹400 FOR TWO
RAISINS CHOCOLATIER AND PATISSERIE, Borivali,Too Few Ratings, 26,26,26,₹300 FOR TWO
Bhajiyawala & Co, Borivali West,20+ ratings, 38,38,38,₹200 FOR TWO
Tasty Bites Taste of Mumbai, Borivali,Too Few Ratings, 38,38,38,₹249 FOR TWO
Khana Khazana, Borivali,Too Few Ratings, 35,35,35,₹400 FOR TWO
Laxmi sweets and thaali, Borivali,Too Few Ratings, 27,27,27,₹300 FOR TWO
Kaffeine, Borivali West,20+ ratings, 30,30,30,₹450 FOR TWO
B K C KITCHEN,  borivali ,Too Few Ratings, 29,29,29,₹249 FOR TWO
Bombay Tea, Borivali,Too Few Ratings, 35,35,35,₹200 FOR TWO
Rangrez, Malad Kan East,Too Few Ratings, 36,36,36,₹158 FOR TWO
Dakaar, Dahisar,Too Few Ratings, 33,33,33,₹300 FOR TWO
YOYO JUICES, Borivali West,Too Few Ratings, 35,35,35,₹400 FOR TWO
The Hunger Helpers, Kandivali West,20+ ratings, 33,33,33,₹250 FOR TWO
Kaffeine, Borivali West,20+ ratings, 30,30,30,₹450 FOR TWO
B K C KITCHEN,  borivali ,Too Few Ratings, 29,29,29,₹249 FOR TWO
Bombay Tea, Borivali,Too Few Ratings, 35,35,35,₹200 FOR TWO
Rangrez, Malad Kan East,Too Few Ratings, 36,36,36,₹158 FOR TWO
Dakaar, Dahisar,Too Few Ratings, 33,33,33,₹300 FOR TWO
YOYO JUICES, Borivali West,Too Few Ratings, 35,35,35,₹400 FOR TWO
The Hunger Helpers, Kandivali West,20+ ratings, 33,33,33,₹250 FOR TWO
Slice N Bites, Borivali East,Too Few Ratings, 35,35,35,₹300 FOR TWO
Hotel Shree Ramdev, Dahisar,20+ ratings, 29,29,29,₹300 FOR TWO
Madhuram Sweets And Farsan, Borivali,100+ ratings, 24,24,24,₹300 FOR TWO
Biryani Barbeque Chinese (BBC), Borivali West,100+ ratings, 27,27,27,₹600 FOR TWO
CHAAP THEKA, Malad Kan West,100+ ratings, 32,32,32,₹400 FOR TWO
Granville IDC Kitchen (Borivali), Borivali West,500+ ratings, 28,28,28,₹300 FOR TWO
Love Of Vada, Borivali,20+ ratings, 24,24,24,₹300 FOR TWO
Shiv Sagar (Mahavir Nagar), Mahavir Nagar,100+ ratings, 34,34,34,₹300 FOR TWO
The J, Borivali,100+ ratings, 27,27,27,₹300 FOR TWO
UFO Fries & Corn, Kandivali West,50+ ratings, 34,34,34,₹100 FOR TWO
Bhaskar s Puranpoli Ghar, Malad Kan West,50+ ratings, 32,32,32,₹200 FOR TWO
New York Waffles & Dinges, Panchsheel Enclave Mahavir,50+ ratings, 29,29,29,₹250 FOR TWO
Bottoms Up, Malad Kan West,Too Few Ratings, 29,29,29,₹200 FOR TWO
99 Pancakes, Borivali,50+ ratings, 26,26,26,₹300 FOR TWO
Vinayak Ankit Sandwich, Kandivali West,100+ ratings, 32,32,32,₹250 FOR TWO
Wack Waffles & Brownies, Panchsheel Enclave Mahavir,20+ ratings, 36,36,36,₹250 FOR TWO
Panchayat-The Kulhad Cafe, Borivali West,20+ ratings, 28,28,28,₹250 FOR TWO
Keventers - Milkshakes & Desserts, Kandivali West,100+ ratings, 25,25,25,₹200 FOR TWO
FRANCO'S PIZZERIA, Kandivali West,20+ ratings, 31,31,31,₹400 FOR TWO
99 Waffles, Mahavir Nagar,20+ ratings, 27,27,27,₹300 FOR TWO
The Waffle Co., Kandivali West,100+ ratings, 34,34,34,₹250 FOR TWO
Mithibai Ka Famous- Anand Stall, Mahavir Nagar,20+ ratings, 36,36,36,₹300 FOR TWO
One Minute chai Nashta, Borivali,50+ ratings, 25,25,25,₹100 FOR TWO
ARIHANT DUGDHALAY, Borivali,20+ ratings, 22,22,22,₹200 FOR TWO
Akkad Bakkad Bombay Boom (Mahavir Nagar), Mahavir Nagar, Kandivali west,100+ ratings, 33,33,33,₹350 FOR TWO
JUNGLE JUICE, Borivali,Too Few Ratings, 27,27,27,₹200 FOR TWO
Atta Girl, Bandongari,50+ ratings, 24,24,24,₹500 FOR TWO
BIG BITE, Malad Kan West,Too Few Ratings, 35,35,35,₹300 FOR TWO
Libon The Cake Expert, Borivali,100+ ratings, 22,22,22,₹300 FOR TWO
Winni Cakes & More, Borivali,Too Few Ratings, 27,27,27,₹400 FOR TWO
Vada Bite, Borivali,20+ ratings, 28,28,28,₹300 FOR TWO
Kuku's, Borivali West,100+ ratings, 24,24,24,₹500 FOR TWO
99 Cakes, Mahavir Nagar,20+ ratings, 26,26,26,₹300 FOR TWO
Dharma's Sandwich, Dahisar East,50+ ratings, 33,33,33,₹150 FOR TWO
Vd S 91 Paneer Shawarma	, Malad Kan West,Too Few Ratings, 30,30,30,₹160 FOR TWO
The Royal Surprise, Malad Kan East,Too Few Ratings, 37,37,37,₹450 FOR TWO
CHAI PE CHARCHA, KANDIVALI WEST,100+ ratings, 34,34,34,₹250 FOR TWO
The Dough Therapy, Kandivali West,50+ ratings, 30,30,30,₹800 FOR TWO
East Asia - Indian | Asian | Continental, Borivali West,100+ ratings, 37,37,37,₹600 FOR TWO
Cake Basket, Borivali,20+ ratings, 24,24,24,₹500 FOR TWO
Mamledar Misal, Borivali West,100+ ratings, 25,25,25,₹200 FOR TWO
Bhagwati Veg Restaurant, Borivali West,1000+ ratings, 29,29,29,₹550 FOR TWO
Moussestruck, Kandivali West,100+ ratings, 22,22,22,₹200 FOR TWO
Miami Waffles & Jawbreakers, Kandivali,Too Few Ratings, 32,32,32,₹200 FOR TWO
Crave Junction, Near Babasaheb Ambedkar Hospital,Too Few Ratings, 33,33,33,₹600 FOR TWO
Dhaabay	, Malad Kan West,Too Few Ratings, 42,42,42,₹450 FOR TWO
Amritsari Kulcha Junction (Pure Veg), Borivali,100+ ratings, 31,31,31,₹300 FOR TWO
ADARSH, Borivali,50+ ratings, 24,24,24,₹300 FOR TWO
Golden Delicacy Multicuisine Restaurant, Borivali,Too Few Ratings, 30,30,30,₹500 FOR TWO
THE JUICE TREE, Malad Kan East,Too Few Ratings, 31,31,31,₹300 FOR TWO
Damru Paan Shop, Borivali West,100+ ratings, 21,21,21,₹150 FOR TWO
Tea Pea, Borivali,Too Few Ratings, 36,36,36,₹250 FOR TWO
Dairy Don, Borivali,20+ ratings, 26,26,26,₹200 FOR TWO
The Veg Treat Legacy, Borivali,20+ ratings, 28,28,28,₹500 FOR TWO
Jabaz Vada, Borivali,20+ ratings, 28,28,28,₹300 FOR TWO
Kulcha Singhji, Roop Kamal Society,20+ ratings, 32,32,32,₹400 FOR TWO
The Baker's Dozen, Malad East,100+ ratings, 25,25,25,₹300 FOR TWO
Delicacy, Kandivali West,20+ ratings, 28,28,28,₹450 FOR TWO
SHAIKH BIRYANI CENTER AND CHINESE, Malad kan east,Too Few Ratings, 32,32,32,₹300 FOR TWO
99 Waffles, Mahavir Nagar,20+ ratings, 27,27,27,₹300 FOR TWO
Bipin Sandwich & Pizza Plaza, Borivali West,50+ ratings, 34,34,34,₹400 FOR TWO
Rasoi, Borivali,Too Few Ratings, 35,35,35,₹2 FOR TWO
WTC PASTA, Borivali,20+ ratings, 34,34,34,₹300 FOR TWO
Barbeque Nation, Kandivali East,100+ ratings, 32,32,32,₹600 FOR TWO
Golden Delicacy Multicuisine Restaurant, Borivali,Too Few Ratings, 30,30,30,₹500 FOR TWO
Friends Fast Food, Kandivali West,Too Few Ratings, 31,31,31,₹300 FOR TWO
NIC Ice Creams, Borivali West,100+ ratings, 22,22,22,₹120 FOR TWO
Le Gateau Cake Shop, Borivali West,Too Few Ratings, 25,25,25,₹200 FOR TWO
DBW DE BURGER WORLD, Thakur Village,Too Few Ratings, 23,23,23,₹200 FOR TWO
Swadesi Dairy Products, Kandivali West,20+ ratings, 26,26,26,₹200 FOR TWO
Myfroyoland - Premium Frozen Yogurt, Shimpoli Road,20+ ratings, 23,23,23,₹400 FOR TWO
THE MAK BROASTED FASTFOOD, Malad Kan East,20+ ratings, 31,31,31,₹200 FOR TWO
LunchBox - Meals and Thalis, Kandivali East,100+ ratings, 24,24,24,₹200 FOR TWO
Mummy's Kitchen, Borivali,Too Few Ratings, 35,35,35,₹200 FOR TWO
HALF PLATE CHINESE, Borivali,Too Few Ratings, 37,37,37,₹200 FOR TWO
BITCHY BURGERS, S.V. Road,Too Few Ratings, 35,35,35,₹220 FOR TWO
Aniruddha ice cream parlour, Kandivali, Malad East,Too Few Ratings, 36,36,36,₹200 FOR TWO
YAAREE BURGER, Borivali,Too Few Ratings, 35,35,35,₹200 FOR TWO
Uncle's Pizza House, Borivali West,Too Few Ratings, 35,35,35,₹450 FOR TWO
Shailesh Sweetcorn, Malad Kan East,Too Few Ratings, 31,31,31,₹200 FOR TWO
Raj Chinese Kitchen, Borivali,Too Few Ratings, 32,32,32,₹250 FOR TWO
Aai Krupa Fast Food, Borivali,20+ ratings, 27,27,27,₹50 FOR TWO
Bhagwati Pav Bhaji, Kandivali West,1000+ ratings, 29,29,29,₹400 FOR TWO
CITY SAMOSA, Malad Kan East,20+ ratings, 28,28,28,₹40 FOR TWO
Rajubhai Dhoklawala, Kandivali West,1000+ ratings, 36,36,36,₹200 FOR TWO
Saraswati Juice Center and Rashwanti Gruha, Kandivali West,20+ ratings, 31,31,31,₹180 FOR TWO
BALLEY BOWWLS, Borivali,Too Few Ratings, 38,38,38,₹350 FOR TWO
Flavours 21, Malad East,100+ ratings, 32,32,32,₹250 FOR TWO
Radha Krishna Fast Food - Mahavir Nagar, Kandivali West,50+ ratings, 36,36,36,₹400 FOR TWO
Radha Krishna Fast Food - Mahavir Nagar, Kandivali West,50+ ratings, 36,36,36,₹400 FOR TWO
GAYATRI SWEET & FARSAN, Borivali,Too Few Ratings, 25,25,25,₹400 FOR TWO
Mohanlal S Mithaiwala, Borivali,Too Few Ratings, 35,35,35,₹500 FOR TWO
Hunger Point, Borivali,Too Few Ratings, 35,35,35,₹400 FOR TWO
Le Gateau Cake Shop, Borivali West,Too Few Ratings, 25,25,25,₹200 FOR TWO
Namaste Borivali, Borivali,Too Few Ratings, 31,31,31,₹600 FOR TWO
Maratha King, Dahisar,Too Few Ratings, 35,35,35,₹2 FOR TWO
Souffle Cake Shop, Borivali West,Too Few Ratings, 25,25,25,₹200 FOR TWO
Bao Bao, Kandivali,20+ ratings, 32,32,32,₹500 FOR TWO
Fling Confectionery, Borivali,Too Few Ratings, 26,26,26,₹900 FOR TWO
Gupta Bhelpuri and Snacks, Kandivali West,Too Few Ratings, 34,34,34,₹250 FOR TWO
Banana Leaf, Borivali West,500+ ratings, 32,32,32,₹600 FOR TWO
Donna's Pizza, Kandivali West,Too Few Ratings, 35,35,35,₹200 FOR TWO
Deepak (Borivali), Borivali West,500+ ratings, 32,32,32,₹400 FOR TWO
Preeti Sandwich and juice center, Mahavir Nagar,100+ ratings, 33,33,33,₹300 FOR TWO
Wafflespoon, Mahavir Nagar,50+ ratings, 33,33,33,₹500 FOR TWO
Hirkani gharachi shidori, Dahisar,Too Few Ratings, 35,35,35,₹250 FOR TWO
Sainath Hotel, Dahisar,20+ ratings, 29,29,29,₹300 FOR TWO
Goragandhi Juice Corner & Veg World, Borivali West,100+ ratings, 29,29,29,₹700 FOR TWO
MUCHHAD PAANWALA, Borivali West,20+ ratings, 34,34,34,₹60 FOR TWO
Bombay Naan House, Borivali,20+ ratings, 38,38,38,₹350 FOR TWO
Anhad Misal, Borivali,100+ ratings, 27,27,27,₹200 FOR TWO
Laxmi Vilas, Daftary Road,100+ ratings, 36,36,36,₹450 FOR TWO
Jeden - The Cake Expert, Kandivali West,50+ ratings, 28,28,28,₹500 FOR TWO
SATNAM GOLDEN FAST FOOD CENTRE, Kandivali, Malad East,50+ ratings, 32,32,32,₹500 FOR TWO
Street Gourmet, Borivali West,100+ ratings, 33,33,33,₹400 FOR TWO
JAI MATA DI FAST FOOD, Malad Kan East,Too Few Ratings, 29,29,29,₹120 FOR TWO
ADVENTURE MOMO HOUSE, Malad Kan West,Too Few Ratings, 36,36,36,₹250 FOR TWO
Seeta Nx, Borivali West,20+ ratings, 33,33,33,₹500 FOR TWO
Lal Tadka, Kandivali West,Too Few Ratings, 37,37,37,₹600 FOR TWO
Biryani can, Mahavir Nagar,20+ ratings, 39,39,39,₹600 FOR TWO
South Tiffin House Exclusive, Mahavir Nagar,20+ ratings, 33,33,33,₹300 FOR TWO
